date,max,min,avg
1/1/2019,-0.63,-0.68,-0.66
2/1/2019,-0.61,-0.73,-0.67
3/1/2019,-0.61,-0.69,-0.65
4/1/2019,-0.64,-0.68,-0.66
5/1/2019,-0.62,-0.69,-0.66
6/1/2019,-0.64,-0.68,-0.66
7/1/2019,-0.63,-0.68,-0.66
8/1/2019,-0.64,-0.68,-0.66
9/1/2019,-0.63,-0.68,-0.66
10/1/2019,-0.62,-0.7,-0.66
11/1/2019,-0.62,-0.69,-0.66
12/1/2019,-0.65,-0.68,-0.67
13/1/2019,-0.65,-0.69,-0.67
14/1/2019,-0.64,-0.69,-0.67
15/1/2019,-0.64,-0.69,-0.67
16/1/2019,-0.65,-0.68,-0.67
17/1/2019,-0.64,-0.68,-0.66
18/1/2019,-0.64,-0.68,-0.66
19/1/2019,-0.65,-0.68,-0.67
20/1/2019,-0.64,-0.67,-0.66
21/1/2019,-0.64,-0.67,-0.66
22/1/2019,-0.62,-0.68,-0.65
23/1/2019,-0.62,-0.7,-0.66
24/1/2019,-0.6,-0.67,-0.64
25/1/2019,-0.61,-0.68,-0.65
26/1/2019,-0.6,-0.68,-0.64
27/1/2019,-0.58,-0.72,-0.65
28/1/2019,-0.54,-0.71,-0.63
29/1/2019,-0.6,-0.67,-0.64
30/1/2019,-0.56,-0.7,-0.63
31/1/2019,-0.59,-0.65,-0.62
1/2/2019,-0.59,-0.67,-0.63
2/2/2019,-0.56,-0.68,-0.62
3/2/2019,-0.53,-0.59,-0.56
4/2/2019,-0.52,-0.57,-0.55
5/2/2019,-0.52,-0.57,-0.55
6/2/2019,-0.52,-0.57,-0.55
7/2/2019,-0.53,-0.56,-0.55
8/2/2019,-0.53,-0.56,-0.55
9/2/2019,-0.53,-0.56,-0.55
10/2/2019,-0.52,-0.57,-0.55
11/2/2019,-0.49,-0.57,-0.53
12/2/2019,-0.51,-0.57,-0.54
13/2/2019,-0.52,-0.57,-0.55
14/2/2019,-0.52,-0.58,-0.55
15/2/2019,-0.52,-0.58,-0.55
16/2/2019,-0.52,-0.58,-0.55
17/2/2019,-0.53,-0.57,-0.55
18/2/2019,-0.54,-0.57,-0.56
19/2/2019,-0.54,-0.56,-0.55
20/2/2019,-0.54,-0.57,-0.56
21/2/2019,-0.53,-0.57,-0.55
22/2/2019,-0.53,-0.56,-0.55
23/2/2019,-0.49,-0.62,-0.56
24/2/2019,-0.52,-0.6,-0.56
25/2/2019,-0.53,-0.63,-0.58
26/2/2019,-0.53,-0.58,-0.56
27/2/2019,-0.54,-0.59,-0.57
28/2/2019,-0.55,-0.58,-0.57
1/3/2019,-0.54,-0.58,-0.56
2/3/2019,-0.54,-0.58,-0.56
3/3/2019,-0.54,-0.58,-0.56
4/3/2019,-0.51,-0.6,-0.56
5/3/2019,-0.53,-0.59,-0.56
6/3/2019,-0.54,-0.59,-0.57
7/3/2019,-0.53,-0.59,-0.56
8/3/2019,-0.54,-0.58,-0.56
9/3/2019,-0.54,-0.58,-0.56
10/3/2019,-0.55,-0.6,-0.58
11/3/2019,-0.32,-0.65,-0.49
12/3/2019,-0.43,-0.65,-0.54
13/3/2019,-0.55,-0.62,-0.59
14/3/2019,-0.52,-0.59,-0.56
15/3/2019,-0.55,-0.59,-0.57
16/3/2019,-0.55,-0.59,-0.57
17/3/2019,-0.55,-0.59,-0.57
18/3/2019,-0.54,-0.6,-0.57
19/3/2019,-0.55,-0.62,-0.59
20/3/2019,-0.54,-0.63,-0.59
21/3/2019,-0.56,-0.61,-0.59
22/3/2019,-0.57,-0.61,-0.59
23/3/2019,-0.57,-0.61,-0.59
24/3/2019,-0.57,-0.61,-0.59
25/3/2019,-0.58,-0.62,-0.6
26/3/2019,-0.55,-0.66,-0.61
27/3/2019,-0.58,-0.65,-0.62
28/3/2019,-0.59,-0.65,-0.62
29/3/2019,-0.59,-0.64,-0.62
30/3/2019,-0.61,-0.64,-0.63
31/3/2019,-0.61,-0.64,-0.63
1/4/2019,-0.6,-0.63,-0.62
2/4/2019,-0.6,-0.64,-0.62
3/4/2019,-0.6,-0.67,-0.64
4/4/2019,-0.38,-0.7,-0.54
5/4/2019,-0.52,-0.63,-0.58
6/4/2019,-0.55,-0.58,-0.57
7/4/2019,-0.53,-0.58,-0.56
8/4/2019,-0.52,-0.57,-0.55
9/4/2019,-0.52,-0.58,-0.55
10/4/2019,-0.55,-0.59,-0.57
11/4/2019,-0.53,-0.6,-0.57
12/4/2019,-0.53,-0.61,-0.57
13/4/2019,-0.54,-0.6,-0.57
14/4/2019,-0.53,-0.61,-0.57
15/4/2019,-0.53,-0.59,-0.56
16/4/2019,-0.53,-0.61,-0.57
17/4/2019,-0.55,-0.6,-0.58
18/4/2019,-0.55,-0.6,-0.58
19/4/2019,-0.55,-0.6,-0.58
20/4/2019,-0.55,-0.59,-0.57
21/4/2019,-0.56,-0.6,-0.58
22/4/2019,-0.52,-0.61,-0.57
23/4/2019,-0.54,-0.6,-0.57
24/4/2019,-0.53,-0.58,-0.56
25/4/2019,-0.54,-0.58,-0.56
26/4/2019,-0.54,-0.6,-0.57
27/4/2019,-0.52,-0.58,-0.55
28/4/2019,-0.45,-0.65,-0.55
29/4/2019,-0.51,-0.61,-0.56
30/4/2019,-0.5,-0.65,-0.58
1/5/2019,-0.52,-0.61,-0.57
2/5/2019,-0.52,-0.6,-0.56
3/5/2019,-0.56,-0.6,-0.58
4/5/2019,-0.5,-0.6,-0.55
5/5/2019,-0.51,-0.67,-0.59
6/5/2019,-0.55,-0.63,-0.59
7/5/2019,-0.55,-0.61,-0.58
8/5/2019,-0.55,-0.61,-0.58
9/5/2019,-0.54,-0.63,-0.59
