data;n°;sesso;lt carapace (mm);peso tot (g);peso addome;peso epato;Hiw;TwB;SA;muta;maturità gonadi;peso gonadi;;;;;;;;;;;;;;;;;;;
04/07/2018;1;M;43.28;16.9;5;0.7;4.14;29.59;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;2;M;54.11;34.5;8.2;1.7;4.93;23.77;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;3;M;52.73;30.2;7;1.8;5.96;23.18;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;4;M;81.55;35.4;8.2;1.9;5.37;23.16;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;5;M;72;28.5;6;0.9;3.16;21.05;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;6;M;52.21;33.6;7.5;2.1;6.25;22.32;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;7;M;54.89;37;7.7;1.3;3.51;20.81;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;8;M;59.21;39.1;7.8;1.7;4.35;19.95;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;9;M;50.77;32.2;8.2;1.6;4.97;25.47;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;10;M;49.05;25.4;6;1.4;5.51;23.62;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;11;M;49.33;23.9;6.4;1.1;4.60;26.78;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;12;M;45.84;20.2;5.6;0.9;4.46;27.72;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;13;M;43.01;17.6;4.9;0.7;3.98;27.84;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;14;M;47.36;23.2;5.6;1.1;4.74;24.14;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;15;M;41.66;14.9;5.1;0.6;4.03;34.23;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;16;M;48.01;21.7;6.1;1.1;5.07;28.11;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;17;M;45.06;21.7;5.8;1;4.61;26.73;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;18;M;41.67;18.8;5.3;0.6;3.19;28.19;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;19;M;43.27;16.9;5;1;5.92;29.59;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;20;M;46.32;20.04;4.8;0.8;3.99;23.95;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;21;M;42.71;20.1;5.5;0.8;3.98;27.36;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;22;M;50.72;30.2;7.1;1.6;5.30;23.51;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;23;M;45.96;18.1;4.8;0.8;4.42;26.52;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;24;M;37.57;11.5;3.4;0.7;6.09;29.57;SI;NO;;;;;;;;;;;;;;;;;;;;;
04/07/2018;25;M;46.53;26.8;4.6;0.7;2.61;17.16;NO;SI;;;;;;;;;;;;;;;;;;;;;
04/07/2018;26;M;40.53;13.4;4.3;0.9;6.72;32.09;SI;NO;;;;;;;;;;;;;;;;;;;;;
