"","sesso","date","n","perc"
"1","F",2000-10-01,35,0.393258426966292
"2","F",2000-11-01,70,0.426829268292683
"3","F",2000-12-01,35,0.777777777777778
"4","F",2001-01-01,81,0.613636363636364
"5","F",2001-04-01,56,0.565656565656566
"6","F",2001-05-01,41,0.440860215053763
"7","F",2001-06-01,122,0.767295597484277
"8","F",2001-07-01,58,0.475409836065574
"9","F",2001-08-01,7,1
"10","F",2001-09-01,4,0.4
"11","F",2001-10-01,62,0.512396694214876
"12","F",2001-11-01,54,0.421875
"13","F",2007-06-01,53,0.514563106796116
"14","F",2007-07-01,71,0.586776859504132
"15","F",2007-08-01,64,0.520325203252033
"16","F",2007-09-01,84,0.46927374301676
"17","F",2007-10-01,65,0.382352941176471
"18","F",2007-11-01,76,0.419889502762431
"19","F",2008-01-01,69,0.482517482517482
"20","F",2008-02-01,39,0.302325581395349
"21","F",2008-03-01,62,0.504065040650406
"22","F",2008-04-01,49,0.433628318584071
"23","F",2008-05-01,33,0.388235294117647
"24","F",2008-06-01,44,0.444444444444444
"25","F",2008-07-01,66,0.564102564102564
"26","F",2008-08-01,29,0.25
"27","F",2008-09-01,81,0.490909090909091
"28","F",2008-10-01,74,0.582677165354331
"29","F",2008-11-01,51,0.377777777777778
"30","F",2008-12-01,60,0.405405405405405
"31","F",2009-01-01,64,0.496124031007752
"32","F",2009-02-01,63,0.543103448275862
"33","F",2009-03-01,57,0.495652173913044
"34","F",2009-04-01,63,0.5625
"35","F",2009-05-01,41,0.414141414141414
"36","F",2009-06-01,41,0.39047619047619
"37","F",2009-07-01,52,0.52
"38","F",2018-07-01,27,0.3
"39","F",2018-09-01,35,0.261194029850746
"40","F",2018-10-01,59,0.324175824175824
"41","F",2018-11-01,74,0.360975609756098
"42","F",2018-12-01,39,0.234939759036145
"43","F",2019-02-01,42,0.336
"44","F",2019-03-01,52,0.275132275132275
"45","F",2019-05-01,102,0.425
"46","F",2019-06-01,42,0.446808510638298
"47","F",2019-07-01,47,0.494736842105263
"48","F",2019-09-01,46,0.312925170068027
"49","F",2019-10-01,47,0.324137931034483
"50","F",2019-11-01,24,0.198347107438017
"51","F",2019-12-01,26,0.222222222222222
"52","F",2020-01-01,38,0.281481481481481
"53","F",2020-02-01,31,0.252032520325203
"54","F",2020-06-01,81,0.397058823529412
"55","F",2020-07-01,38,0.41304347826087
"56","F",2020-08-01,44,0.411214953271028
"57","F",2020-09-01,44,0.303448275862069
"58","F",2020-10-01,40,0.333333333333333
"59","F",2020-11-01,52,0.419354838709677
"60","F",2020-12-01,25,0.25
"61","F",2021-01-01,39,0.312
"62","F",2021-02-01,44,0.389380530973451
"63","F",2021-03-01,35,0.333333333333333
"64","F",2021-04-01,40,0.363636363636364
"65","F",2021-05-01,30,0.357142857142857
"66","M",2000-10-01,54,0.606741573033708
"67","M",2000-11-01,94,0.573170731707317
"68","M",2000-12-01,10,0.222222222222222
"69","M",2001-01-01,51,0.386363636363636
"70","M",2001-04-01,43,0.434343434343434
"71","M",2001-05-01,52,0.559139784946237
"72","M",2001-06-01,37,0.232704402515723
"73","M",2001-07-01,64,0.524590163934426
"74","M",2001-09-01,6,0.6
"75","M",2001-10-01,59,0.487603305785124
"76","M",2001-11-01,74,0.578125
"77","M",2007-06-01,50,0.485436893203884
"78","M",2007-07-01,50,0.413223140495868
"79","M",2007-08-01,59,0.479674796747967
"80","M",2007-09-01,95,0.53072625698324
"81","M",2007-10-01,105,0.61764705882353
"82","M",2007-11-01,105,0.580110497237569
"83","M",2008-01-01,74,0.517482517482518
"84","M",2008-02-01,90,0.697674418604651
"85","M",2008-03-01,61,0.495934959349593
"86","M",2008-04-01,64,0.566371681415929
"87","M",2008-05-01,52,0.611764705882353
"88","M",2008-06-01,55,0.555555555555556
"89","M",2008-07-01,51,0.435897435897436
"90","M",2008-08-01,87,0.75
"91","M",2008-09-01,84,0.509090909090909
"92","M",2008-10-01,53,0.417322834645669
"93","M",2008-11-01,84,0.622222222222222
"94","M",2008-12-01,88,0.594594594594595
"95","M",2009-01-01,65,0.503875968992248
"96","M",2009-02-01,53,0.456896551724138
"97","M",2009-03-01,58,0.504347826086956
"98","M",2009-04-01,49,0.4375
"99","M",2009-05-01,58,0.585858585858586
"100","M",2009-06-01,64,0.60952380952381
"101","M",2009-07-01,48,0.48
"102","M",2018-07-01,63,0.7
"103","M",2018-09-01,99,0.738805970149254
"104","M",2018-10-01,123,0.675824175824176
"105","M",2018-11-01,131,0.639024390243902
"106","M",2018-12-01,127,0.765060240963855
"107","M",2019-02-01,83,0.664
"108","M",2019-03-01,137,0.724867724867725
"109","M",2019-05-01,138,0.575
"110","M",2019-06-01,52,0.553191489361702
"111","M",2019-07-01,48,0.505263157894737
"112","M",2019-09-01,101,0.687074829931973
"113","M",2019-10-01,98,0.675862068965517
"114","M",2019-11-01,97,0.801652892561983
"115","M",2019-12-01,91,0.777777777777778
"116","M",2020-01-01,97,0.718518518518519
"117","M",2020-02-01,92,0.747967479674797
"118","M",2020-06-01,123,0.602941176470588
"119","M",2020-07-01,54,0.58695652173913
"120","M",2020-08-01,63,0.588785046728972
"121","M",2020-09-01,101,0.696551724137931
"122","M",2020-10-01,80,0.666666666666667
"123","M",2020-11-01,72,0.580645161290323
"124","M",2020-12-01,75,0.75
"125","M",2021-01-01,86,0.688
"126","M",2021-02-01,69,0.610619469026549
"127","M",2021-03-01,70,0.666666666666667
"128","M",2021-04-01,70,0.636363636363636
"129","M",2021-05-01,54,0.642857142857143
